月数,人口,单岗研究,总研究,单岗超然逻辑,总超然逻辑,单岗能量币维护,总岗能量币维护,人口净化进度,产生人口净化进度,人口增长进度,产生人口增长进度,帝国人口
175,421,383.48446875,161446.96134375,9.947440625,4187.872503125001,57.09812500000001,24038.310625000006,20.650000000022374,704.85,95.19999999998936,1465,2621
176,418,378.93693749999994,158395.63987499996,9.813856249999999,4102.1919124999995,56.69125000000001,23696.942500000005,25.500000000022396,699.3000000000001,111.79999999998927,1465,2618
177,415,374.41640625,155382.80859375,9.681171875000002,4017.6863281250007,56.284375000000004,23358.015625,24.800000000022465,693.75,129.59999999998922,1465,2615
178,412,369.922875,152408.22449999998,9.5493875,3934.34765,55.87750000000001,23021.530000000006,18.550000000022465,688.2,148.59999999998922,1465,2612
179,409,365.45634375,149471.64459374998,9.418503124999999,3852.1677781249996,55.47062500000001,22687.485625000005,6.75000000002251,682.65,168.79999999998927,1465,2609
180,407,362.49365625,147534.91809375002,9.331746875000002,3798.020978125001,55.19937500000001,22466.145625000005,89.40000000002249,678.95,190.19999999998913,1465,2607
181,404,358.07212499999997,144661.1385,9.2023625,3717.75445,54.79250000000002,22136.170000000006,68.35000000002253,673.4,212.39999999998918,1465,2604
182,401,353.67759375,141824.71509375,9.073878124999998,3638.6251281249993,54.38562500000001,21808.635625000006,41.75000000002251,667.85,235.79999999998904,1465,2601
183,398,349.31006249999996,139025.40487499998,8.94629375,3560.6249125000004,53.97875000000001,21483.542500000003,9.600000000022533,662.3000000000001,260.39999999998895,1465,2598
184,396,346.41337500000003,137179.69650000002,8.8617375,3509.24805,53.70750000000001,21268.170000000006,71.9000000000226,658.6,286.1999999999889,1465,2596
185,393,342.0908437499999,134441.70159374998,8.735653125,3433.1116781250003,53.30062500000001,20947.145625000005,30.500000000022624,653.0500000000001,312.7999999999888,1465,2593
186,391,339.22415625,132636.64509375,8.652096875,3382.969878125,53.02937500000001,20734.485625000005,83.55000000002269,649.35,340.59999999998877,1465,2591
187,389,336.36946874999995,130847.72334374998,8.568940625,3333.3179031249997,52.758125000000014,20522.910625000004,32.900000000022715,645.65,10.099999999988654,1465,2589
188,387,333.52678125,129074.86434375,8.486184375,3284.153353125,52.48687500000001,20312.420625000006,78.55000000002269,641.95,39.499999999988404,1465,2587
189,384,329.28524999999996,126445.536,8.3628,3211.3152,52.08000000000001,19998.720000000005,20.500000000022737,636.4,69.69999999998845,1465,2584
190,382,326.4725625,124712.518875,8.281043750000002,3163.358712500001,51.80875000000001,19790.942500000005,56.900000000022715,632.7,101.09999999998831,1465,2582
191,380,323.671875,122995.3125,8.1996875,3115.88125,51.53750000000001,19584.250000000004,89.60000000002276,629.0,133.29999999998836,1465,2580
192,377,319.49334375,120448.99059375,8.078403125000001,3045.5579781250003,51.13062500000001,19276.245625000003,18.60000000002276,623.45,166.29999999998836,1465,2577
193,375,316.72265625,118770.99609375,7.998046875,2999.267578125,50.85937500000001,19072.265625000004,42.050000000022806,619.75,200.4999999999884,1465,2575
194,373,313.96396875,117108.56034375,7.9180906250000005,2953.447803125,50.58812500000001,18869.370625000003,61.800000000022806,616.0500000000001,235.4999999999884,1465,2573
195,371,311.21728125000004,115461.61134375002,7.838534375,2908.096253125,50.31687500000001,18667.560625000006,77.85000000002287,612.35,271.29999999998836,1465,2571
196,369,308.4825937499999,113830.07709374998,7.759378124999999,2863.2105281249997,50.045625,18466.835625,90.2000000000229,608.65,307.89999999998827,1465,2569
197,367,305.75990625,112213.88559374999,7.680621875,2818.788228125,49.77437500000001,18267.195625000004,98.85000000002287,604.95,345.29999999998813,1465,2567
198,365,303.04921875,110612.96484375001,7.602265625,2774.8269531250003,49.503125000000004,18068.640625,3.8000000000229193,601.25,26.799999999988188,1465,2565
